pais_id,Anio,poblacion
1,2010,42000000
1,2000,38000000
1,1990,32000000
1,2004,40100100
41,2011,10500000
41,2001,10350000
41,1991,9860000
42,2011,46800000
42,2001,40800000
42,1991,38800000
43,2016,67000000
43,2011,65300000
43,2006,63200000
44,2011,63100000
44,2001,58700000
44,1991,57400000
45,2011,80200000
45,1987,77800000
45,1981,78400000
46,2016,11260000
46,2017,11320000
46,2018,11370000
47,2011,84000000
47,2001,80000000
47,1991,78000000
48,2011,59000000
48,2001,57500000
48,1991,57100000
49,2011,5500000
49,2000,5300000
49,1990,5100000
50,2010,7820000
50,2000,7200000
50,1990,6750000
